section,metric,value,unit,source_file,notes
Wikipedia,Political polarization (en.wikipedia) — sum daily views (90d window),23919,views sum,data/raw/wiki_batch_en_polarization.json,Public attention proxy; not slur-specific
Wikipedia,Political polarization (en.wikipedia) — peak single-day views,566,views max,data/raw/wiki_batch_en_polarization.json,Peak in source JSON items
Wikipedia,Hrvatska (hr.wikipedia) — sum daily views (90d window),53023,views sum,data/raw/wiki_batch_hr_croatia.json,Public attention proxy; not slur-specific
Wikipedia,Hrvatska (hr.wikipedia) — peak single-day views,884,views max,data/raw/wiki_batch_hr_croatia.json,Peak in source JSON items
Event Registry,ENG libtard — total matching articles (index),20,hits,data/processed/eventregistry_summary.csv,
Event Registry,ENG MAGA — total matching articles (index),12543,hits,data/processed/eventregistry_summary.csv,High base rate in news
Event Registry,ENG teabagger — total matching articles (index),0,hits,data/processed/eventregistry_summary.csv,Often zero — sparse or phrasing
Event Registry,HRV jugocetnici — total,0,hits,data/processed/eventregistry_summary.csv,
Event Registry,HRV jugokomunisti — total,0,hits,data/processed/eventregistry_summary.csv,
Event Registry,HRV klerofasist — total,0,hits,data/processed/eventregistry_summary.csv,
Event Registry,HRV Ustaše — total,276,hits,data/processed/eventregistry_summary.csv,
Event Registry,EN political polarization (probe query) — total,528,hits,data/processed/eventregistry_summary.csv,Separate probe not same as slur list
Google Trends,trends_summary_hr_oluja_window_2024 — Ustaše spike vs baseline (±3d),0.0,ratio,data/processed/trends_summary_hr_oluja_window_2024.json,0–100 relative index; not absolute volume
Google Trends,trends_summary_hr_oluja_window_2024 — Oluja spike vs baseline (±3d),30.225,ratio,data/processed/trends_summary_hr_oluja_window_2024.json,0–100 relative index; not absolute volume
Google Trends,trends_summary_hr_oluja_window_2024 — Hrvatska spike vs baseline (±3d),1.303,ratio,data/processed/trends_summary_hr_oluja_window_2024.json,0–100 relative index; not absolute volume
Google Trends,trends_summary_hr_oluja_window_2024 — prosvjed spike vs baseline (±3d),0.0,ratio,data/processed/trends_summary_hr_oluja_window_2024.json,0–100 relative index; not absolute volume
Google Trends,trends_summary_hr_oluja_window_2024 — izbori spike vs baseline (±3d),1.857,ratio,data/processed/trends_summary_hr_oluja_window_2024.json,0–100 relative index; not absolute volume
Google Trends,trends_summary_hr_split_folklore_nov2025 — Split spike vs baseline (±3d),1.021,ratio,data/processed/trends_summary_hr_split_folklore_nov2025.json,0–100 relative index; not absolute volume
Google Trends,trends_summary_hr_split_folklore_nov2025 — folklor spike vs baseline (±3d),0.0,ratio,data/processed/trends_summary_hr_split_folklore_nov2025.json,0–100 relative index; not absolute volume
Google Trends,trends_summary_hr_split_folklore_nov2025 — Dani srpske kulture spike vs baseline (±3d),0.0,ratio,data/processed/trends_summary_hr_split_folklore_nov2025.json,0–100 relative index; not absolute volume
Google Trends,trends_summary_hr_split_folklore_nov2025 — Prosvjeta spike vs baseline (±3d),10.0,ratio,data/processed/trends_summary_hr_split_folklore_nov2025.json,0–100 relative index; not absolute volume
